o,p,p
l,o,n,g
24,17,4,14
25,18,4,14
16,4,20,15
16,4,22,15
17,19,4,15
17,4,23,15
24,18,4,15
25,19,4,15
16,17,4,20
16,17,4,22
16,18,19,4
16,18,4,23
16,24,19,4
16,25,4,20
17,18,4,20
17,18,4,22
17,19,4,23
24,17,4,20
17,4,21,25
18,19,4,20
18,19,4,22
18,4,20,23
24,18,4,21
25,18,4,22
19,4,20,22
19,4,21,23
24,19,4,22
25,19,4,23
21,4,20,22
4,20,22,23
24,4,20,23
24,25,4,20
24,4,22,23
24,25,4,22
17,5,6,7
19,5,6,7
21,5,6,7
8,16,5,6
8,18,5,6
8,5,6,22
9,5,6,15
9,5,6,17
9,5,6,23
10,5,6,14
16,10,5,6
24,10,5,6
13,11,5,6
11,5,6,15
25,11,5,6
12,5,6,14
8,15,5,7
8,19,5,7
8,21,5,7
9,5,14,7
9,18,5,7
9,5,22,7
10,13,5,7
17,10,5,7
10,23,5,7
16,11,5,7
24,11,5,7
15,12,5,7
25,12,5,7
8,9,13,5
8,9,19,5
8,9,21,5
8,10,18,5
8,10,5,22
8,11,12,5
8,17,11,5
8,11,5,23
8,16,12,5
8,24,12,5
8,13,5,14
9,10,12,5
9,10,19,5
9,10,21,5
9,18,11,5
9,11,5,22
9,12,5,17
9,12,5,23
9,13,5,15
9,13,5,25
19,10,11,5
21,10,11,5
10,18,12,5
10,12,5,22
16,10,13,5
24,10,13,5
10,5,14,15
25,10,5,14
19,11,12,5
21,11,12,5
17,13,11,5
13,11,5,23
16,11,5,14
24,11,5,14
25,11,5,15
13,18,12,5
13,12,5,22
17,12,5,14
12,5,14,23
16,12,5,15
24,12,5,15
16,25,12,5
13,19,5,14
13,21,5,14
13,18,5,15
13,5,22,15
16,17,13,5
16,13,5,23
24,17,13,5
25,13,18,5
19,5,14,15
21,5,14,15
16,18,5,14
16,5,14,22
17,5,14,23
24,18,5,14
25,19,5,14
16,19,5,15
16,21,5,15
17,18,5,15
17,5,22,15
18,23,5,15
24,19,5,15
25,20,5,15
16,17,19,5
16,17,21,5
16,18,5,22
16,19,5,23
16,24,20,5
16,25,21,5
17,18,19,5
17,18,21,5
17,19,5,22
17,20,5,23
24,17,21,5
17,5,22,25
21,18,19,5
18,20,5,22
18,21,5,23
24,18,5,22
25,18,5,23
21,19,20,5
21,19,5,22
19,5,22,23
24,19,5,23
24,25,19,5
21,5,22,23
24,21,5,23
24,25,21,5
25,5,22,23
8,16,6,7
8,18,6,7
8,20,6,7
9,15,6,7
9,17,6,7
9,21,6,7
10,14,6,7
16,10,6,7
10,22,6,7
11,13,6,7
11,15,6,7
11,23,6,7
12,14,6,7
24,12,6,7
8,9,6,14
8,9,18,6
8,9,20,6
8,10,13,6
8,17,10,6
8,10,21,6
8,16,11,6
8,11,6,22
8,12,6,15
8,12,6,23
8,25,13,6
9,10,18,6
9,10,20,6
9,11,12,6
9,11,6,17
9,11,21,6
16,9,12,6
9,12,6,22
9,13,6,14
24,9,13,6
9,25,6,14
18,10,11,6
10,11,20,6
17,10,12,6
10,12,21,6
10,13,6,15
10,13,6,23
24,10,6,14
25,10,6,15
18,11,12,6
11,12,20,6
16,11,13,6
11,13,6,22
11,15,6,14
11,23,6,14
24,11,6,15
16,25,11,6
17,12,13,6
21,12,13,6
16,12,6,14
12,22,6,14
12,23,6,15
16,24,12,6
17,12,6,25
18,13,6,14
20,13,6,14
17,13,6,15
21,13,6,15
16,13,6,22
17,13,6,23
24,18,13,6
25,19,13,6
18,15,6,14
15,20,6,14
16,17,6,14
16,21,6,14
17,22,6,14
18,23,6,14
24,19,6,14
25,20,6,14
16,18,6,15
16,20,6,15
17,21,6,15
18,22,6,15
19,23,6,15
24,20,6,15
25,21,6,15
16,17,18,6
16,17,20,6
16,18,21,6
16,19,6,22
16,20,6,23
16,24,21,6
16,25,6,22
17,18,20,6
17,19,21,6
17,20,6,22
17,21,6,23
24,17,6,22
17,25,6,23
18,19,20,6
18,20,21,6
18,21,6,22
18,23,6,22
24,18,6,23
24,25,18,6
20,21,6,22
20,23,6,22
24,20,6,23
24,25,20,6
24,21,6,22
25,21,6,23
8,9,15,7
8,9,17,7
8,9,19,7
8,10,14,7
8,16,10,7
8,10,20,7
8,11,13,7
8,11,15,7
8,11,21,7
8,12,14,7
8,12,22,7
8,24,13,7
8,25,14,7
9,10,13,7
9,10,17,7
9,10,19,7
16,9,11,7
9,11,20,7
9,12,15,7
9,12,21,7
9,23,13,7
24,9,14,7
9,15,25,7
10,11,12,7
17,10,11,7
19,10,11,7
16,10,12,7
10,12,20,7
10,13,14,7
10,13,22,7
10,23,14,7
24,10,15,7
16,25,10,7
17,11,12,7
19,11,12,7
11,15,13,7
21,11,13,7
11,22,14,7
11,15,23,7
16,24,11,7
17,11,25,7
16,12,13,7
20,12,13,7
12,15,14,7
12,21,14,7
12,15,22,7
16,12,23,7
24,17,12,7
25,18,12,7
17,13,14,7
19,13,14,7
16,15,13,7
20,15,13,7
16,21,13,7
17,13,22,7
18,23,13,7
24,19,13,7
25,20,13,7
17,15,14,7
19,15,14,7
16,20,14,7
17,21,14,7
18,22,14,7
19,23,14,7
24,20,14,7
25,21,14,7
16,17,15,7
16,19,15,7
17,15,20,7
18,15,21,7
19,15,22,7
23,15,20,7
24,15,21,7
25,15,22,7
16,17,19,7
16,18,20,7
16,19,21,7
16,20,22,7
16,23,21,7
16,24,22,7
16,25,23,7
17,18,19,7
17,19,20,7
17,20,21,7
17,21,22,7
17,23,22,7
24,17,23,7
24,17,25,7
19,20,21,7
19,21,22,7
19,23,22,7
24,19,23,7
24,25,19,7
23,20,21,7
24,20,22,7
25,20,23,7
25,21,22,7
8,9,10,14
8,9,10,16
8,9,10,18
8,9,11,13
8,9,11,15
8,9,11,19
8,9,12,14
8,9,12,20
8,9,13,22
8,9,14,23
8,9,24,15
8,9,16,25
8,16,10,11
8,18,10,11
8,10,12,15
8,10,19,12
8,10,21,13
8,10,14,22
8,10,23,15
8,16,10,24
8,17,10,25
8,16,11,12
8,18,11,12
8,11,13,14
8,11,20,13
8,11,21,14
8,11,22,15
8,16,11,23
8,17,11,24
8,25,18,11
8,12,13,15
8,19,12,13
8,12,20,14
8,12,21,15
8,16,12,22
8,17,12,23
8,24,18,12
8,25,19,12
8,16,13,14
8,18,13,14
8,19,13,15
8,16,20,13
8,17,21,13
8,18,13,22
8,19,13,23
8,24,20,13
8,25,21,13
